county,department,expenditures_ytd,fiscal_year,bin
Prince George's,COUNTY COUNCIL,1024342.72,2015,Governing
Prince George's,COUNTY COUNCIL,1524339.14,2013,Governing
Prince George's,COUNTY COUNCIL,1573443.53,2014,Governing
Prince George's,COUNTY COUNCIL,1730691.29,2017,Governing
Prince George's,COUNTY COUNCIL,2093509.81,2018,Governing
Prince George's,COUNTY COUNCIL,2776310.65,2020,Governing
Prince George's,COUNTY COUNCIL,3347830.08,2019,Governing
Prince George's,COUNTY EXECUTIVE,106008.9,2017,Governing
Prince George's,COUNTY EXECUTIVE,122263.44,2015,Governing
Prince George's,COUNTY EXECUTIVE,131404.24,2018,Governing
Prince George's,COUNTY EXECUTIVE,149038.06,2016,Governing
Prince George's,COUNTY EXECUTIVE,161269.73,2020,Governing
Prince George's,COUNTY EXECUTIVE,167491.58,2019,Governing
Prince George's,COUNTY EXECUTIVE,178212.69,2014,Governing
Prince George's,COUNTY EXECUTIVE,191473.52,2013,Governing
Prince George's,EDUCATION,8762743.13,2014,Education
Prince George's,EDUCATION,9334972.61,2013,Education
Prince George's,EDUCATION,668535090.24,2015,Education
Prince George's,EDUCATION,800425363.5,2016,Education
Prince George's,EDUCATION,879483110.08,2017,Education
Prince George's,EDUCATION,900786775.57,2019,Education
Prince George's,EDUCATION,923984248.31,2018,Education
Prince George's,EDUCATION,1248840258.16,2020,Education
Prince George's,ELECTIONS,225810.19,2019,Education
Prince George's,ELECTIONS,268257.82,2018,Education
Prince George's,ELECTIONS,302397.32,2015,Education
Prince George's,ELECTIONS,302500.52,2014,Education
Prince George's,ELECTIONS,362097.31,2020,Education
Prince George's,ELECTIONS,384550.65,2017,Education
Prince George's,ELECTIONS,392688.11,2016,Education
Prince George's,ELECTIONS,1040460.68,2013,Education
Prince George's,ENVIRONMENT,76097172.31,2014,Community Development
Prince George's,ENVIRONMENT,77170789.7,2013,Community Development
Prince George's,ENVIRONMENT,79185408.61,2015,Community Development
Prince George's,ENVIRONMENT,86454728.18,2016,Community Development
Prince George's,ENVIRONMENT,106670286.73,2019,Community Development
Prince George's,ENVIRONMENT,107098628.67,2017,Community Development
Prince George's,ENVIRONMENT,147332773.65,2018,Community Development
Prince George's,ENVIRONMENT,154694748.01,2020,Community Development
Prince George's,ETHICS & ACCOUNTABILITY,8200.3,2016,Social Services
Prince George's,ETHICS & ACCOUNTABILITY,11194.84,2017,Social Services
Prince George's,ETHICS & ACCOUNTABILITY,11272.24,2018,Social Services
Prince George's,ETHICS & ACCOUNTABILITY,15264.59,2015,Social Services
Prince George's,ETHICS & ACCOUNTABILITY,19079.0,2014,Social Services
Prince George's,ETHICS & ACCOUNTABILITY,35341.85,2019,Social Services
Prince George's,ETHICS & ACCOUNTABILITY,58734.56,2020,Social Services
Prince George's,FAMILY SERVICES,5746837.29,2015,Social Services
Prince George's,FAMILY SERVICES,5770109.71,2017,Social Services
Prince George's,FAMILY SERVICES,5896736.67,2016,Social Services
Prince George's,FAMILY SERVICES,6475480.75,2019,Social Services
Prince George's,FAMILY SERVICES,7054452.34,2018,Social Services
Prince George's,FAMILY SERVICES,8999909.08,2013,Social Services
Prince George's,FAMILY SERVICES,9011276.61,2020,Social Services
Prince George's,FAMILY SERVICES,10296781.05,2014,Social Services
Prince George's,FINANCE,232809.88,2017,Finance
Prince George's,FINANCE,600312.59,2016,Finance
Prince George's,FINANCE,630692.25,2019,Finance
Prince George's,FINANCE,1409676.52,2020,Finance
Prince George's,FINANCE,1717535.38,2018,Finance
Prince George's,FINANCE,9202685.42,2013,Finance
Prince George's,FINANCE,9581330.57,2014,Finance
Prince George's,FINANCE,136028523.97,2015,Finance
Prince George's,FIRE/EMS,14148656.68,2013,Public Safety
Prince George's,FIRE/EMS,16062207.87,2014,Public Safety
Prince George's,FIRE/EMS,18506668.28,2016,Public Safety
Prince George's,FIRE/EMS,20382186.96,2019,Public Safety
Prince George's,FIRE/EMS,20574216.09,2018,Public Safety
Prince George's,FIRE/EMS,21489302.18,2015,Public Safety
Prince George's,FIRE/EMS,21758110.08,2017,Public Safety
Prince George's,FIRE/EMS,22973517.92,2020,Public Safety
Prince George's,HEALTH,20562452.4,2018,Social Services
Prince George's,HEALTH,20820056.38,2019,Social Services
Prince George's,HEALTH,24365249.15,2017,Social Services
Prince George's,HEALTH,24589207.52,2014,Social Services
Prince George's,HEALTH,25594832.27,2013,Social Services
Prince George's,HEALTH,27540109.21,2015,Social Services
Prince George's,HEALTH,27667069.63,2016,Social Services
Prince George's,HEALTH,31788085.38,2020,Social Services
Prince George's,HOMELAND SECURITY,9418815.01,2017,Public Safety
Prince George's,HOMELAND SECURITY,9535714.02,2016,Public Safety
Prince George's,HOMELAND SECURITY,9681948.64,2015,Public Safety
Prince George's,HOMELAND SECURITY,11615300.82,2014,Public Safety
Prince George's,HOMELAND SECURITY,13024786.0,2013,Public Safety
Prince George's,HOMELAND SECURITY,14014205.63,2018,Public Safety
Prince George's,HOMELAND SECURITY,14241535.31,2019,Public Safety
Prince George's,HOMELAND SECURITY,15114439.55,2020,Public Safety
Prince George's,HOUSING,2821370.93,2016,Community Development
Prince George's,HOUSING,2960928.92,2018,Community Development
Prince George's,HOUSING,3573594.18,2019,Community Development
Prince George's,HOUSING,4796668.29,2015,Community Development
Prince George's,HOUSING,5093573.61,2014,Community Development
Prince George's,HOUSING,5323499.42,2017,Community Development
Prince George's,HOUSING,5682014.45,2013,Community Development
Prince George's,HOUSING,5810220.33,2020,Community Development
Prince George's,HUMAN RESOURCES,920295.01,2017,Social Services
Prince George's,HUMAN RESOURCES,933107.4,2016,Social Services
Prince George's,HUMAN RESOURCES,1269930.11,2018,Social Services
Prince George's,HUMAN RESOURCES,1385405.63,2019,Social Services
Prince George's,HUMAN RESOURCES,2421279.57,2020,Social Services
Prince George's,HUMAN RESOURCES,17381714.16,2013,Social Services
Prince George's,HUMAN RESOURCES,18064980.8,2014,Social Services
Prince George's,HUMAN RESOURCES,25440968.69,2015,Social Services
Prince George's,INFORMATION TECHNOLOGY,25212848.19,2013,Social Services
Prince George's,INFORMATION TECHNOLOGY,25730409.83,2019,Social Services
Prince George's,INFORMATION TECHNOLOGY,25806457.47,2017,Social Services
Prince George's,INFORMATION TECHNOLOGY,27458111.85,2014,Social Services
Prince George's,INFORMATION TECHNOLOGY,29634572.15,2016,Social Services
Prince George's,INFORMATION TECHNOLOGY,31901573.39,2018,Social Services
Prince George's,INFORMATION TECHNOLOGY,35063710.82,2015,Social Services
Prince George's,INFORMATION TECHNOLOGY,36560785.37,2020,Social Services
Prince George's,LAW,65886.48,2016,Governing
Prince George's,LAW,87742.76,2019,Governing
Prince George's,LAW,89839.46,2017,Governing
Prince George's,LAW,90696.61,2020,Governing
Prince George's,LAW,94426.77,2018,Governing
Prince George's,LAW,144999.87,2015,Governing
Prince George's,LAW,181128.83,2014,Governing
Prince George's,LAW,224533.2,2013,Governing
Prince George's,LICENSE COMMISIONERS,21933.13,2018,Governing
Prince George's,LICENSE COMMISIONERS,31172.53,2020,Governing
Prince George's,LICENSE COMMISIONERS,32496.94,2019,Governing
Prince George's,LICENSE COMMISIONERS,40451.12,2017,Governing
Prince George's,LICENSE COMMISSIONERS,19815.35,2016,Governing
Prince George's,LICENSE COMMISSIONERS,31708.34,2014,Governing
Prince George's,LICENSE COMMISSIONERS,40016.34,2013,Governing
Prince George's,LICENSE COMMISSIONERS,52417.37,2015,Governing
Prince George's,MANAGEMENT & BUDGET,7841.18,2015,Finance
Prince George's,MANAGEMENT & BUDGET,11273.38,2018,Finance
Prince George's,MANAGEMENT & BUDGET,12759.56,2016,Finance
Prince George's,MANAGEMENT & BUDGET,15034.93,2020,Finance
Prince George's,MANAGEMENT & BUDGET,16238.41,2017,Finance
Prince George's,MANAGEMENT & BUDGET,18806.63,2014,Finance
Prince George's,MANAGEMENT & BUDGET,21180.53,2013,Finance
Prince George's,MANAGEMENT & BUDGET,28421.64,2019,Finance
Prince George's,NON-DEPARTMENTAL,43897925.92,2015,Other
Prince George's,NON-DEPARTMENTAL,43992521.38,2014,Other
Prince George's,NON-DEPARTMENTAL,49196137.1,2018,Other
Prince George's,NON-DEPARTMENTAL,50066705.75,2017,Other
Prince George's,NON-DEPARTMENTAL,51997564.24,2013,Other
Prince George's,NON-DEPARTMENTAL,55225390.49,2016,Other
Prince George's,NON-DEPARTMENTAL,61331920.01,2019,Other
Prince George's,NON-DEPARTMENTAL,70673467.06,2020,Other
Prince George's,ORPHAN'S COURT,3472.66,2016,Governing
Prince George's,ORPHAN'S COURT,3853.47,2015,Governing
Prince George's,ORPHAN'S COURT,5254.26,2014,Governing
Prince George's,ORPHAN'S COURT,6135.45,2013,Governing
Prince George's,ORPHAN'S COURT,6317.92,2019,Governing
Prince George's,ORPHAN'S COURT,6386.29,2020,Governing
Prince George's,ORPHAN'S COURT,13354.33,2018,Governing
Prince George's,ORPHAN'S COURT,39447.0,2017,Governing
Prince George's,"PERMITTING, INSPECTIONS & ENFORCEMENT",88633.06,2014,Community Development
Prince George's,"PERMITTING, INSPECTIONS & ENFORCEMENT",1889174.56,2016,Community Development
Prince George's,"PERMITTING, INSPECTIONS & ENFORCEMENT",2000434.35,2015,Community Development
Prince George's,"PERMITTING, INSPECTIONS & ENFORCEMENT",2502337.92,2019,Community Development
Prince George's,"PERMITTING, INSPECTIONS & ENFORCEMENT",3118636.27,2017,Community Development
Prince George's,"PERMITTING, INSPECTIONS & ENFORCEMENT",6305488.78,2018,Community Development
Prince George's,"PERMITTING, INSPECTIONS & ENFORCEMENT",6959142.18,2020,Community Development
Prince George's,PERSONNEL BOARD,2534.55,2020,Governing
Prince George's,PERSONNEL BOARD,3759.65,2018,Governing
Prince George's,PERSONNEL BOARD,3802.32,2017,Governing
Prince George's,PERSONNEL BOARD,5814.82,2019,Governing
Prince George's,PERSONNEL BOARD,6498.97,2016,Governing
Prince George's,PERSONNEL BOARD,32304.66,2015,Governing
Prince George's,PERSONNEL BOARD,62864.85,2014,Governing
Prince George's,PERSONNEL BOARD,86597.27,2013,Governing
Prince George's,POLICE,11471404.63,2017,Public Safety
Prince George's,POLICE,11901126.47,2014,Public Safety
Prince George's,POLICE,14218226.32,2013,Public Safety
Prince George's,POLICE,19288965.41,2018,Public Safety
Prince George's,POLICE,20001735.38,2015,Public Safety
Prince George's,POLICE,22717209.65,2016,Public Safety
Prince George's,POLICE,30338721.2,2019,Public Safety
Prince George's,POLICE,34038338.28,2020,Public Safety
Prince George's,PUBLIC WORKS & TRANSPORTATION,71907016.48,2013,Community Development
Prince George's,PUBLIC WORKS & TRANSPORTATION,73324608.16,2014,Community Development
Prince George's,PUBLIC WORKS & TRANSPORTATION,75035353.92,2015,Community Development
Prince George's,PUBLIC WORKS & TRANSPORTATION,94179775.03,2017,Community Development
Prince George's,PUBLIC WORKS & TRANSPORTATION,96971529.45,2016,Community Development
Prince George's,PUBLIC WORKS & TRANSPORTATION,117730467.32,2019,Community Development
Prince George's,PUBLIC WORKS & TRANSPORTATION,135086757.49,2018,Community Development
Prince George's,PUBLIC WORKS & TRANSPORTATION,136716119.77,2020,Community Development
Prince George's,REDEVELOPMENT AUTHORITY,2586913.89,2015,Community Development
Prince George's,REIMBURSABLE BILLINGS,13.76,2018,Finance
Prince George's,REIMBURSABLE BILLINGS,17381.78,2017,Finance
Prince George's,REIMBURSABLE BILLINGS,18492.0,2020,Finance
Prince George's,REIMBURSABLE BILLINGS,712992.54,2015,Finance
Prince George's,SHERIFF,1038126.91,2014,Public Safety
Prince George's,SHERIFF,1105724.32,2019,Public Safety
Prince George's,SHERIFF,1133334.99,2018,Public Safety
Prince George's,SHERIFF,1187957.62,2015,Public Safety
Prince George's,SHERIFF,1217784.94,2020,Public Safety
Prince George's,SHERIFF,1277628.24,2016,Public Safety
Prince George's,SHERIFF,1294146.38,2013,Public Safety
Prince George's,SHERIFF,1465164.29,2017,Public Safety
Prince George's,SOCIAL SERVICES,7985894.56,2019,Social Services
Prince George's,SOCIAL SERVICES,8409513.65,2018,Social Services
Prince George's,SOCIAL SERVICES,8538618.96,2014,Social Services
Prince George's,SOCIAL SERVICES,8604201.5,2013,Social Services
Prince George's,SOCIAL SERVICES,8630958.25,2017,Social Services
Prince George's,SOCIAL SERVICES,9242120.11,2015,Social Services
Prince George's,SOCIAL SERVICES,9311227.64,2016,Social Services
Prince George's,SOCIAL SERVICES,9545892.86,2020,Social Services
Prince George's,SOIL CONSERVATION,775.71,2014,Community Development
Prince George's,SOIL CONSERVATION,1051.18,2015,Community Development
Prince George's,SOIL CONSERVATION,1186.71,2013,Community Development
Prince George's,SOIL CONSERVATION,1353.1,2019,Community Development
Prince George's,SOIL CONSERVATION,3358.61,2017,Community Development
Prince George's,SOIL CONSERVATION,3601.450000000001,2020,Community Development
Prince George's,SOIL CONSERVATION,6069.73,2016,Community Development
Prince George's,SOIL CONSERVATION,7239.61,2018,Community Development
Prince George's,STATE'S ATTORNEY,320561.58,2015,Governing
Prince George's,STATE'S ATTORNEY,333005.65,2016,Governing
Prince George's,STATE'S ATTORNEY,351716.8,2017,Governing
Prince George's,STATE'S ATTORNEY,410940.87,2014,Governing
Prince George's,STATE'S ATTORNEY,495150.82,2013,Governing
Prince George's,STATE'S ATTORNEY,632079.01,2018,Governing
Prince George's,STATE'S ATTORNEY,745288.8,2019,Governing
Prince George's,STATE'S ATTORNEY,1264148.53,2020,Governing
Prince George's,VARIOUS AGENCIES,721589758.82,2013,Other
Prince George's,VARIOUS AGENCIES,773211696.15,2014,Other
Loudoun,Animal Services,"2,853,020",2014,Other
Loudoun,Animal Services,"3,204,851",2015,Other
Loudoun,Animal Services,"3,068,489",2016,Other
Loudoun,Animal Services,"2,922,674",2017,Other
Loudoun,Animal Services,"3,206,134",2018,Other
Loudoun,Animal Services,"3,537,675",2019,Other
Loudoun,Animal Services,"3,718,093",2020,Other
Loudoun,Animal Services,"4,406,888",2021,Other
Loudoun,Board of Supervisors,"2,044,623",2014,Governing
Loudoun,Board of Supervisors,"2,066,000",2015,Governing
Loudoun,Board of Supervisors,"2,181,484",2016,Governing
Loudoun,Board of Supervisors,"2,348,063",2017,Governing
Loudoun,Board of Supervisors,"2,376,663",2018,Governing
Loudoun,Board of Supervisors,"2,583,353",2019,Governing
Loudoun,Board of Supervisors,"2,896,440",2020,Governing
Loudoun,Board of Supervisors,"3,063,220",2021,Governing
Loudoun,Building & Development,"17,823,691",2014,Community Development
Loudoun,Building & Development,"20,407,840",2015,Community Development
Loudoun,Building & Development,"20,616,955",2016,Community Development
Loudoun,Building and Development,"20,794,079",2017,Community Development
Loudoun,Building and Development,"20,594,117",2018,Community Development
Loudoun,Building and Development,"22,269,830",2019,Community Development
Loudoun,Building and Development,"23,602,759",2020,Community Development
Loudoun,Building and Development,"24,219,509",2021,Community Development
Loudoun,Clerk of the Circuit Court,"3,758,038",2014,Governing
Loudoun,Clerk of the Circuit Court,"3,890,183",2015,Governing
Loudoun,Clerk of the Circuit Court,"3,977,967",2016,Governing
Loudoun,Clerk of the Circuit Court,"4,318,077",2017,Governing
Loudoun,Clerk of the Circuit Court,"4,491,462",2018,Governing
Loudoun,Clerk of the Circuit Court,"4,589,272",2019,Governing
Loudoun,Clerk of the Circuit Court,"4,885,203",2020,Governing
Loudoun,Clerk of the Circuit Court,"5,026,295",2021,Governing
Loudoun,Commissioner of the Revenue,"5,977,558",2014,Governing
Loudoun,Commissioner of the Revenue,"6,738,648",2015,Governing
Loudoun,Commissioner of the Revenue,"6,514,363",2016,Governing
Loudoun,Commissioner of the Revenue,"6,694,456",2017,Governing
Loudoun,Commissioner of the Revenue,"6,783,764",2018,Governing
Loudoun,Commissioner of the Revenue,"7,989,701",2019,Governing
Loudoun,Commissioner of the Revenue,"8,826,743",2020,Governing
Loudoun,Commissioner of the Revenue,"9,078,145",2021,Governing
Loudoun,Commonwealth’s Attorney,"3,055,395",2014,Governing
Loudoun,Commonwealth’s Attorney,"3,338,930",2015,Governing
Loudoun,Commonwealth’s Attorney,"3,384,627",2016,Governing
Loudoun,Commonwealth’s Attorney,"3,563,001",2017,Governing
Loudoun,Commonwealth’s Attorney,"3,746,736",2018,Governing
Loudoun,Commonwealth’s Attorney,"4,060,405",2019,Governing
Loudoun,Commonwealth’s Attorney,"4,307,381",2020,Governing
Loudoun,Commonwealth’s Attorney,"4,433,563",2021,Governing
Loudoun,Community Corrections,"1,707,809",2014,Publlic Safety
Loudoun,Community Corrections,"1,895,232",2015,Publlic Safety
Loudoun,Community Corrections,"1,925,334",2016,Publlic Safety
Loudoun,Community Corrections,"2,071,585",2017,Publlic Safety
Loudoun,Community Corrections,"2,342,859",2018,Publlic Safety
Loudoun,Community Corrections,"2,625,591",2019,Publlic Safety
Loudoun,Community Corrections,"2,871,815",2020,Publlic Safety
Loudoun,Community Corrections,"2,952,931",2021,Publlic Safety
Loudoun,County Administrator,"3,137,545",2014,Governing
Loudoun,County Administrator,"3,489,119",2015,Governing
Loudoun,County Administrator,"3,720,531",2016,Governing
Loudoun,County Administrator,"4,923,939",2017,Governing
Loudoun,County Administrator,"5,351,417",2018,Governing
Loudoun,County Administrator,"5,953,279",2019,Governing
Loudoun,County Administrator,"6,720,506",2020,Governing
Loudoun,County Administrator,"6,854,055",2021,Governing
Loudoun,County Attorney,"2,532,191",2014,Governing
Loudoun,County Attorney,"2,770,731",2015,Governing
Loudoun,County Attorney,"2,856,474",2016,Governing
Loudoun,County Attorney,"3,084,875",2017,Governing
Loudoun,County Attorney,"3,456,178",2018,Governing
Loudoun,County Attorney,"3,416,335",2019,Governing
Loudoun,County Attorney,"3,518,029",2020,Governing
Loudoun,County Attorney,"3,620,074",2021,Governing
Loudoun,County Total,"$416,861,509",2014,Finances
Loudoun,County Total,"$453,755,869",2015,Finances
Loudoun,County Total,"$471,307,601",2016,Finances
Loudoun,County Total,"$1,453,838,070",2017,Finances
Loudoun,County Total,"$1,569,321,345",2018,Finances
Loudoun,County Total,"$1,642,079,228",2019,Finances
Loudoun,County Total,"$1,805,766,154",2020,Finances
Loudoun,County Total,"$1,835,649,942",2021,Finances
Loudoun,Courts,"1,019,402",2014,Governing
Loudoun,Courts,"1,118,319",2015,Governing
Loudoun,Courts,"1,451,759",2016,Governing
Loudoun,Courts,"1,425,348",2017,Governing
Loudoun,Courts,"1,450,007",2018,Governing
Loudoun,Courts,"1,673,880",2019,Governing
Loudoun,Courts,"1,706,920",2020,Governing
Loudoun,Courts,"1,750,257",2021,Governing
Loudoun,Economic Development,"2,578,179",2014,Community Development
Loudoun,Economic Development,"3,009,279",2015,Community Development
Loudoun,Economic Development,"3,226,761",2016,Community Development
Loudoun,Economic Development,"3,257,953",2017,Community Development
Loudoun,Economic Development,"3,512,414",2018,Community Development
Loudoun,Economic Development,"3,837,175",2019,Community Development
Loudoun,Economic Development,"4,092,485",2020,Community Development
Loudoun,Economic Development,"4,195,929",2021,Community Development
Loudoun,Elections and Voter Registration,"1,214,614",2014,Governing
Loudoun,Elections and Voter Registration,"1,624,015",2015,Governing
Loudoun,Elections and Voter Registration,"1,793,032",2016,Governing
Loudoun,Elections and Voter Registration,"1,722,543",2017,Governing
Loudoun,Elections and Voter Registration,"1,751,784",2018,Governing
Loudoun,Elections and Voter Registration,"1,934,920",2019,Governing
Loudoun,Elections and Voter Registration,"2,250,311",2020,Governing
Loudoun,Elections and Voter Registration,"2,303,805",2021,Governing
Loudoun,Extension Services,"361,209",2014,Education
Loudoun,Extension Services,"409,975",2015,Education
Loudoun,Extension Services,"403,507",2016,Education
Loudoun,Extension Services,"397,343",2017,Education
Loudoun,Extension Services,"419,769",2018,Education
Loudoun,Extension Services,"465,751",2019,Education
Loudoun,Extension Services,"553,940",2020,Education
Loudoun,Extension Services,"568,269",2021,Education
Loudoun,Family Services,"32,092,069",2017,Social Services
Loudoun,Family Services,"33,972,738",2018,Social Services
Loudoun,Family Services,"38,130,927",2019,Social Services
Loudoun,Family Services,"43,077,178",2020,Social Services
Loudoun,Family Services,"43,887,214",2021,Social Services
Loudoun,Family Services2,"30,654,981",2014,Social Services
Loudoun,Family Services2,"33,621,538",2015,Social Services
Loudoun,Family Services2,"34,038,050",2016,Social Services
Loudoun,Finance and Procurement,"4,690,492",2017,Finances
Loudoun,Finance and Procurement,"4,999,198",2018,Finances
Loudoun,Finance and Procurement,"5,761,098",2019,Finances
Loudoun,Finance and Procurement,"5,903,736",2020,Finances
Loudoun,Finance and Procurement,"6,066,702",2021,Finances
Loudoun,Fire and Rescue,"71,869,522",2017,Publlic Safety
Loudoun,Fire and Rescue,"79,210,722",2018,Publlic Safety
Loudoun,Fire and Rescue,"89,133,020",2019,Publlic Safety
Loudoun,Fire and Rescue,"95,815,139",2020,Publlic Safety
Loudoun,Fire and Rescue,"98,341,229",2021,Publlic Safety
Loudoun,"Fire, Rescue, & Emergency Services","62,443,832",2014,Publlic Safety
Loudoun,"Fire, Rescue, & Emergency Services","67,622,786",2015,Publlic Safety
Loudoun,"Fire, Rescue, & Emergency Services","71,400,440",2016,Publlic Safety
Loudoun,General Services,"31,531,428",2014,Other
Loudoun,General Services,"31,797,219",2015,Other
Loudoun,General Services,"33,279,653",2016,Other
Loudoun,General Services,"41,169,678",2017,Other
Loudoun,General Services,"42,970,916",2018,Other
Loudoun,General Services,"47,276,265",2019,Other
Loudoun,General Services,"49,757,223",2020,Other
Loudoun,General Services,"49,970,225",2021,Other
Loudoun,Health,"4,763,662",2017,Social Services
Loudoun,Health,"4,899,397",2018,Social Services
Loudoun,Health,"5,487,295",2019,Social Services
Loudoun,Health,"5,894,627",2020,Social Services
Loudoun,Health,"6,017,953",2021,Social Services
Loudoun,Health Services,"4,258,514",2014,Social Services
Loudoun,Health Services,"4,521,978",2015,Social Services
Loudoun,Health Services,"4,646,671",2016,Social Services
Loudoun,Human Resources,"6,607,442",2017,Social Services
Loudoun,Human Resources,"6,120,714",2018,Social Services
Loudoun,Human Resources,"6,281,947",2019,Social Services
Loudoun,Human Resources,"7,499,104",2020,Social Services
Loudoun,Human Resources,"7,707,605",2021,Social Services
Loudoun,Information,"2,450,488",2017,Social Services
Loudoun,Information,"2,331,901",2018,Social Services
Loudoun,Information,"2,631,952",2019,Social Services
Loudoun,Information,"2,853,449",2020,Social Services
Loudoun,Information,"2,935,775",2021,Social Services
Loudoun,Information Technology,"21,620,902",2014,Social Services
Loudoun,Information Technology,"22,990,068",2015,Social Services
Loudoun,Information Technology,"26,145,278",2016,Social Services
Loudoun,Information Technology,"28,502,223",2017,Social Services
Loudoun,Information Technology,"33,041,603",2018,Social Services
Loudoun,Information Technology,"34,272,913",2019,Social Services
Loudoun,Information Technology,"37,315,111",2020,Social Services
Loudoun,Information Technology,"37,770,265",2021,Social Services
Loudoun,Infrastructure,"26,797,995",2017,Community Development
Loudoun,Infrastructure,"26,807,165",2018,Community Development
Loudoun,Infrastructure,"29,901,625",2019,Community Development
Loudoun,Infrastructure,"29,056,666",2020,Community Development
Loudoun,Infrastructure,"29,428,159",2021,Community Development
Loudoun,Juvenile Court Service Unit,"2,081,787",2017,Governing
Loudoun,Juvenile Court Service Unit,"2,019,993",2018,Governing
Loudoun,Juvenile Court Service Unit,"2,283,968",2019,Governing
Loudoun,Juvenile Court Service Unit,"2,400,539",2020,Governing
Loudoun,Juvenile Court Service Unit,"2,465,285",2021,Governing
Loudoun,Juvenile Court Services Unit,"1,867,584",2014,Governing
Loudoun,Juvenile Court Services Unit,"1,998,359",2015,Governing
Loudoun,Juvenile Court Services Unit,"2,051,327",2016,Governing
Loudoun,Library Services,"13,708,083",2014,Education
Loudoun,Library Services,"14,646,313",2015,Education
Loudoun,Library Services,"14,628,697",2016,Education
Loudoun,Library Services,"15,020,156",2017,Education
Loudoun,Library Services,"15,831,917",2018,Education
Loudoun,Library Services,"20,136,288",2019,Education
Loudoun,Library Services,"21,020,535",2020,Education
Loudoun,Library Services,"21,570,684",2021,Education
Loudoun,"MH, SA, & Developmental Services","31,993,713",2014,Community Development
Loudoun,"MH, SA, & Developmental Services","34,327,389",2015,Community Development
Loudoun,"MH, SA, & Developmental Services","35,321,256",2016,Community Development
Loudoun,"MH, SA, and Developmental Services","38,118,692",2017,Community Development
Loudoun,"MH, SA, and Developmental Services","40,085,398",2018,Community Development
Loudoun,"MH, SA, and Developmental Services","43,905,953",2019,Community Development
Loudoun,"MH, SA, and Developmental Services","49,868,199",2020,Community Development
Loudoun,"MH, SA, and Developmental Services","51,117,805",2021,Community Development
Loudoun,Management & Financial Services,"11,920,521",2014,Finances
Loudoun,Management & Financial Services,"13,127,319",2015,Finances
Loudoun,Management & Financial Services,"13,481,174",2016,Finances
Loudoun,Management and Budget,"2,306,592",2017,Finances
Loudoun,Management and Budget,"2,507,796",2018,Finances
Loudoun,Management and Budget,"2,910,419",2019,Finances
Loudoun,Management and Budget,"2,953,228",2020,Finances
Loudoun,Management and Budget,"3,034,855",2021,Finances
Loudoun,Mapping & Geographic Information,"2,203,977",2014,Community Development
